,REGISTRO DE CORREÇÕES: PPC TÉCNICO INTEGRADO EM ADM,,,,,,,
,"Orientações básicas:
1 - Identifique a seção a qual você fará a revisão olhando os títulos na coluna A.
2 - Selecione o seu nome na lista suspensa REVISOR, na coluna E.
3 - Aponte os itens que precisam de atenção numerando-os em ordem 1, 2 (já existem).
4 - Inclua mais linhas para mais itens, se necessário. ",,,,,,,
DOCUMENTO PARA EDIÇÃO CONJUNTA DO TEXTO DAS SEÇÕES: ,,https://docs.google.com/document/d/12aX2UtLcIyeVOF9OHnnZI3r_vpSWP907pjI9H26KWiw/edit?usp=sharing&authuser=1,,,,,,
,,,,,,,,
N,SEÇÃO,ITEM,PÁG,REVISOR,DESCRIÇÃO DO PROBLEMA,SUGESTÃO DE CORREÇÃO,DEVOLUTIVA DE CORREÇÃO,STATUS
,I – DADOS DA INSTITUIÇÃO,,,,,,,
8,Subitem V.2.3 & V.3.3,Consolidação da Oficina de Integração I e Carga Horária da Oficina II,"p. 7, p. 11, p. 55",ANDRE LUIZ SILVA DE MORAES,"Duplicidade de documento ementário para Oficina de Integração I (""Ano 2"" e ""Semestre 4 e 5""); e Oficina II constando com 80h na matriz do 3º Ano.",Descarte do bloco duplicado e consolidação da Oficina I em ementa única de 80h no Ano 2 (3º/4º sem); e atualização da CH da Oficina II para 160h no Ano 3 (5º/6º sem).,,Concluído
9,Subitem V.3,Ordenação Cronológica do Ementário (Alinhamento com a Matriz Curricular),p. 12-68,ANDRE LUIZ SILVA DE MORAES,"As ementas visuais estavam agrupadas por disciplina (ex: Artes 1 e 2 juntas, LPL 1, 2 e 3 juntas), divergindo da ordem da Matriz Curricular Detalhada por Anos.","Reordenação sequencial exata das 45 ementas no .tex e .md seguindo o 1º Ano (Ementas 1–17), 2º Ano (Ementas 18–33) e 3º Ano (Ementas 34–45).",,Concluído
10,Subitem V.3.1 (Ementas 3 e 20),Ementário (Inglês Anos 1 e 2),"p. 14, p. 28",ANDRE LUIZ SILVA DE MORAES,"Pendência de preenchimento dos Objetivos, Conteúdos, Metodologia e Bibliografias nas 2 UCs de Inglês.",Inclusão integral das ementas enviadas no Markdown master e no arquivo .tex oficial.,,Concluído
11,"Subitem V.3.1 (Ementas 4, 21 e 34)","Ementário (LPL Anos 1, 2 e 3 — Proff. Karyna e Sandra)","p. 15, p. 29, p. 50",ANDRE LUIZ SILVA DE MORAES,"Validação dos conteúdos, 10h de CH Prática e referências bibliográficas atualizadas das 3 UCs de Língua Portuguesa e Literatura.",Consolidação integral e conferência nos arquivos .tex e .md master com compilação limpa do PDF.,,Concluído
12,Subitem V.3.2 (Ementa 31),Ementário (Empreendedorismo I — Diretrizes IFSC),p. 46,ANDRE LUIZ SILVA DE MORAES,"Pendência de preenchimento dos Objetivos, Conteúdos com temáticas transversais, Metodologia (LINEDS/PBL) e Bibliografias NBR 6023.","Inclusão completa da ementa com modelo Business Model Canvas, temáticas transversais obrigatórias e acervo bibliográfico.",,Concluído
13,Subitem V.3.2 (Auditoria Geral),Ementário Geral (45 UCs),pp. 12–56,ANDRE LUIZ SILVA DE MORAES,"Presença de marcadores pendentes e ausência de Objetivos/Conteúdos nas UCs de Geografia I/III, Marketing I/II e Gestão Financeira.","Preenchimento e saneamento de 100% das 45 UCs do ementário, eliminando todos os pendentes e compilando o PDF oficial.",,Concluído
14,Subitem V.3.1 (Ementa 8),Ementário (Matemática Ano 1 — Formatação),p. 19,ANDRE LUIZ SILVA DE MORAES,Falha de formatação com asteriscos residuais (*Parte I...**) e desalinhamento de numeração bibliográfica.,Correção para comandos nativos TeX (\textbf{}) no código .tex e inclusão de marcadores de tópicos no Markdown master.,,Concluído
15,Subitem V.3.1 (Ementário Geral),Ementário (Remoção de Numeração Manual e Notas),pp. 8–95,ANDRE LUIZ SILVA DE MORAES,"Presença de numeração sequencial (1., 2.) nas referências e nota interna editorial de confirmação de ementa.",Remoção da numeração sequencial de todas as bibliografias e exclusão da nota editorial em Responsabilidade Socioambiental.,,Concluído
16,V – ESTRUTURA CURRICULAR DO CURSO,Ementário das UCs (Bibliografias Básica e Complementar — ABNT),pp. 11–101,BIBLIOTECA / ANDRE LUIZ SILVA DE MORAES,Inconsistências ABNT NBR 6023 nas ementas: (1) subtítulos de obras em negrito após dois pontos; (2) iniciais de autores capturadas na tag de negrito; (3) ausência de itálico na expressão et al..,Padronização ABNT NBR 6023 em todas as 283 referências das 45 UCs: negrito restrito exclusivamente ao título principal (subtítulo normal após ':'); correção das iniciais de autores; itálico aplicado estritamente à locução et al..,,Concluído
17,TODAS AS SEÇÕES (I A X),Estrutura e Nomenclatura das Seções (Modelo Oficial IFSC),pp. 1–106,ANDRE LUIZ SILVA DE MORAES,"Divergências na nomenclatura de títulos, numeração de seções e omissão dos subitens 15 (Outras características do egresso) e 21 (Atividade em EaD) em relação ao modelo oficial do IFSC.","Reestruturação integral com 100% de fidelidade ao modelo oficial do Google Docs: 10 Macroseções Romanas (I a X), 30 Subitens Arábicos Contínuos (1 a 30), inclusão dos subitens 15 e 21 e títulos padronizados.",,Concluído
